	GSM1867414_sample_table.txt	GSM1867415_sample_table.txt	GSM1867416_sample_table.txt	GSM1867417_sample_table.txt	GSM1867418_sample_table.txt	GSM1867419_sample_table.txt	GSM1867420_sample_table.txt	GSM1867421_sample_table.txt	GSM1867422_sample_table.txt	GSM1867423_sample_table.txt	GSM1867424_sample_table.txt	GSM1867425_sample_table.txt	GSM1867426_sample_table.txt	GSM1867427_sample_table.txt	GSM1867428_sample_table.txt	GSM1867429_sample_table.txt
ILMN_2811339	8.31405	8.35894	8.32192	8.33889	8.34932	8.31078	8.28810	8.32478	8.31132	8.29996	8.32284	8.32456	8.33345	8.35450	8.32307	8.34495
ILMN_2811421	8.35424	8.35648	8.40550	8.43649	8.37349	8.35572	8.39387	8.36424	8.41211	8.35785	8.40671	8.39569	8.36622	8.40433	8.38067	8.43008
ILMN_2811562	8.30730	8.32730	8.31920	8.33218	8.35113	8.32842	8.31419	8.33815	8.32663	8.34998	8.34780	8.30335	8.34603	8.34340	8.33564	8.32629
ILMN_2811705	8.79483	8.64412	8.74296	8.84612	8.90704	8.73392	8.79271	8.87213	8.74081	8.75323	8.78873	8.79313	8.72008	8.88865	8.71705	8.79606
ILMN_2811737	8.40858	8.49903	8.38634	8.41960	8.40491	8.41760	8.54668	8.40740	8.41904	8.38702	8.45209	8.41228	8.43820	8.36902	8.40741	8.41180
ILMN_2811746	8.36475	8.37850	8.37210	8.35076	8.39265	8.36963	8.34540	8.38956	8.43077	8.35548	8.35762	8.37602	8.37768	8.34509	8.39176	8.35348
ILMN_2811775	8.36607	8.38853	8.34065	8.36107	8.36588	8.35184	8.37168	8.35020	8.36230	8.37403	8.35242	8.36161	8.34407	8.36846	8.35303	8.34328
ILMN_2811861	8.36652	8.35208	8.34253	8.40206	8.41962	8.38334	8.36184	8.38999	8.37417	8.37326	8.39520	8.37347	8.34262	8.34806	8.34739	8.42840
ILMN_2811886	8.39435	8.37512	8.39329	8.41899	8.39528	8.37498	8.38948	8.40893	8.37847	8.36159	8.34765	8.39699	8.36238	8.36679	8.39450	8.36298
ILMN_2811918	8.34401	8.32533	8.31073	8.30501	8.31878	8.30844	8.34450	8.30651	8.32668	8.29711	8.28396	8.34064	8.31168	8.32208	8.32802	8.30986
ILMN_2812016	8.34222	8.32978	8.32837	8.31348	8.35869	8.33079	8.32944	8.34421	8.29706	8.28997	8.32691	8.31660	8.34088	8.33047	8.31924	8.32092
ILMN_2812084	8.47341	8.47975	8.45768	8.48770	8.45553	8.51608	8.46158	8.43219	8.45623	8.44416	8.47939	8.50327	8.47317	8.50159	8.44863	8.49890
ILMN_2812087	8.32768	8.31985	8.36120	8.34058	8.33483	8.33411	8.35633	8.33218	8.33346	8.37028	8.36917	8.36037	8.36720	8.35352	8.33025	8.33528
